79.42,79.69,79.16,79.51,
79.46,79.71,79.35,79.42,
79.61,79.75,79.11,79.48,
79.18,79.78,79.15,79.61,
78.72,79.28,78.61,79.18,
78.33,78.97,78.1,78.74,
78.08,78.44,77.98,78.33,
78.3,78.7,77.64,78.01,
79.06,79.13,78.2,78.3,
79.48,79.56,78.86,79.06,
79.45,79.64,79.35,79.48,
79.65,79.67,79.33,79.45,
79.58,79.82,79.5,79.67,
79.47,79.63,79.34,79.58,
79.95,80.07,79.21,79.46,
79.29,80.14,79.27,79.94,
79.21,79.44,79.1,79.29,
79.26,79.46,78.99,79.01,
80.31,80.39,79.13,79.25,
80.16,80.55,80.15,80.31,
79.82,80.32,79.81,80.16,
79.95,80.19,79.69,79.83,
79.9,79.98,79.72,79.92,
79.61,80.01,79.6,79.9,
79.85,79.93,79.43,79.61,
79.89,80.07,79.71,79.85,
79.76,79.99,79.63,79.89,
80.17,80.39,79.79,79.84,
80.12,80.54,80.09,80.17,
80.07,80.6,80.04,80.12,
79.8,80.29,79.63,80.07,
80.3,80.38,79.73,79.81,
80.97,81.44,80.21,80.26,
81.32,81.41,80.66,80.98,
81.3,81.68,81.07,81.33,
